SITE,TREAT,BLOCK,DEPTH,STK
site_1,Control,I,10,105
site_1,Control,I,30,83
site_1,Control,I,50,103
site_1,Control,I,70,110
site_1,Control,I,90,127
site_1,Control,II,10,119
site_1,Control,II,30,98
site_1,Control,II,50,106
site_1,Control,II,70,107
site_1,Control,II,90,109
site_1,Control,III,10,132
site_1,Control,III,30,100
site_1,Control,III,50,96
site_1,Control,III,70,100
site_1,Control,III,90,100
site_1,NPS,I,10,74
site_1,NPS,I,30,86
site_1,NPS,I,50,98
site_1,NPS,I,70,88
site_1,NPS,I,90,88
site_1,NPS,II,10,109
site_1,NPS,II,30,87
site_1,NPS,II,50,103
site_1,NPS,II,70,106
site_1,NPS,II,90,106
site_1,NPS,III,10,103
site_1,NPS,III,30,78
site_1,NPS,III,50,101
site_1,NPS,III,70,87
site_1,NPS,III,90,93
site_1,Pristine,I,10,249
site_1,Pristine,I,30,211
site_1,Pristine,I,50,181
site_1,Pristine,I,70,192
site_1,Pristine,I,90,294
site_1,Pristine,II,10,265
site_1,Pristine,II,30,221
site_1,Pristine,II,50,277
site_1,Pristine,II,70,306
site_1,Pristine,II,90,349
site_1,Pristine,III,10,256
site_1,Pristine,III,30,246
site_1,Pristine,III,50,294
site_1,Pristine,III,70,330
site_1,Pristine,III,90,406
site_3,Control,I,10,178
site_3,Control,I,30,169
site_3,Control,I,50,168
site_3,Control,I,70,148
site_3,Control,I,90,110
site_3,Control,II,10,171
site_3,Control,II,30,180
site_3,Control,II,50,174
site_3,Control,II,70,161
site_3,Control,II,90,121
site_3,Control,III,10,211
site_3,Control,III,30,151
site_3,Control,III,50,174
site_3,Control,III,70,164
site_3,Control,III,90,130
site_3,NPS,I,10,174
site_3,NPS,I,30,181
site_3,NPS,I,50,161
site_3,NPS,I,70,132
site_3,NPS,I,90,96
site_3,NPS,II,10,176
site_3,NPS,II,30,183
site_3,NPS,II,50,143
site_3,NPS,II,70,121
site_3,NPS,II,90,102
site_3,NPS,III,10,183
site_3,NPS,III,30,165
site_3,NPS,III,50,165
site_3,NPS,III,70,139
site_3,NPS,III,90,100
site_3,Pristine,I,10,271
site_3,Pristine,I,30,197
site_3,Pristine,I,50,193
site_3,Pristine,I,70,221
site_3,Pristine,I,90,245
site_3,Pristine,II,10,259
site_3,Pristine,II,30,211
site_3,Pristine,II,50,261
site_3,Pristine,II,70,313
site_3,Pristine,II,90,316
site_3,Pristine,III,10,253
site_3,Pristine,III,30,214
site_3,Pristine,III,50,214
site_3,Pristine,III,70,245
site_3,Pristine,III,90,272
site_4,Control,I,10,133
site_4,Control,I,30,220
site_4,Control,I,50,239
site_4,Control,I,70,226
site_4,Control,I,90,197
site_4,Control,II,10,129
site_4,Control,II,30,167
site_4,Control,II,50,193
site_4,Control,II,70,217
site_4,Control,II,90,202
site_4,Control,III,10,134
site_4,Control,III,30,150
site_4,Control,III,50,222
site_4,Control,III,70,209
site_4,Control,III,90,230
site_4,NPS,I,10,117
site_4,NPS,I,30,153
site_4,NPS,I,50,150
site_4,NPS,I,70,209
site_4,NPS,I,90,219
site_4,NPS,II,10,142
site_4,NPS,II,30,166
site_4,NPS,II,50,225
site_4,NPS,II,70,226
site_4,NPS,II,90,226
site_4,NPS,III,10,109
site_4,NPS,III,30,148
site_4,NPS,III,50,227
site_4,NPS,III,70,194
site_4,NPS,III,90,202
site_4,Pristine,I,10,266
site_4,Pristine,I,30,223
site_4,Pristine,I,50,267
site_4,Pristine,I,70,275
site_4,Pristine,I,90,289
site_4,Pristine,II,10,244
site_4,Pristine,II,30,174
site_4,Pristine,II,50,233
site_4,Pristine,II,70,238
site_4,Pristine,II,90,258
site_4,Pristine,III,10,247
site_4,Pristine,III,30,263
site_4,Pristine,III,50,304
site_4,Pristine,III,70,282
site_4,Pristine,III,90,290
site_2,Control,I,10,179
site_2,Control,I,30,151
site_2,Control,I,50,154
site_2,Control,I,70,163
site_2,Control,I,90,176
site_2,Control,II,10,209
site_2,Control,II,30,146
site_2,Control,II,50,149
site_2,Control,II,70,170
site_2,Control,II,90,170
site_2,Control,III,10,156
site_2,Control,III,30,145
site_2,Control,III,50,154
site_2,Control,III,70,170
site_2,Control,III,90,172
site_2,NPS,I,10,174
site_2,NPS,I,30,155
site_2,NPS,I,50,151
site_2,NPS,I,70,154
site_2,NPS,I,90,163
site_2,NPS,II,10,148
site_2,NPS,II,30,130
site_2,NPS,II,50,148
site_2,NPS,II,70,145
site_2,NPS,II,90,138
site_2,NPS,III,10,154
site_2,NPS,III,30,146
site_2,NPS,III,50,164
site_2,NPS,III,70,148
site_2,NPS,III,90,157
site_2,Pristine,I,10,288
site_2,Pristine,I,30,203
site_2,Pristine,I,50,198
site_2,Pristine,I,70,195
site_2,Pristine,I,90,189
site_2,Pristine,II,10,285
site_2,Pristine,II,30,187
site_2,Pristine,II,50,175
site_2,Pristine,II,70,209
site_2,Pristine,II,90,185
site_2,Pristine,III,10,289
site_2,Pristine,III,30,187
site_2,Pristine,III,50,194
site_2,Pristine,III,70,192
site_2,Pristine,III,90,188
